김치찌개,한식,국물/탕
비빔밥,한식,밥류
불고기,한식,고기
잔치국수,한식,면류,국물/탕
제육볶음,한식,고기
육개장,한식,국물/탕
된장찌개,한식,국물/탕
냉면,한식,면류
갈비찜,한식,고기
삼계탕,한식,국물/탕,고기
잡채,한식,면류
아구찜,한식,해산물
간장게장,한식,해산물
순두부찌개,한식,국물/탕
보쌈,한식,고기
족발,한식,고기
닭볶음탕,한식,고기,국물/탕
추어탕,한식,국물/탕
감자탕,한식,국물/탕,고기
콩나물국밥,한식,밥류,국물/탕
돈까스,일식,양식,고기,튀김
초밥,일식,밥류,해산물
라멘,일식,면류,국물/탕
우동,일식,면류,국물/탕
야끼소바,일식,면류
가츠동,일식,밥류,튀김
규동,일식,밥류,고기
텐동,일식,밥류,튀김
오코노미야끼,일식,기타
메밀소바,일식,면류
사시미,일식,해산물
샤브샤브,일식,한식,국물/탕,고기
스키야키,일식,국물/탕,고기
에비후라이,일식,해산물,튀김
타코야끼,일식,기타
짜장면,중식,면류
짬뽕,중식,면류,국물/탕,해산물
탕수육,중식,고기,튀김
볶음밥,중식,밥류
양장피,중식,해산물,기타
꿔바로우,중식,고기,튀김
마파두부,중식,밥류,기타
고추잡채,중식,기타
깐풍기,중식,고기,튀김
유산슬,중식,해산물,기타
딤섬,중식,기타
탄탄면,중식,면류,국물/탕
멘보샤,중식,해산물,튀김,빵
유린기,중식,고기,튀김
동파육,중식,고기
까르보나라,양식,면류
스테이크,양식,고기
봉골레파스타,양식,면류,해산물
알리오올리오,양식,면류
리조또,양식,밥류
라자냐,양식,면류,고기
에그베네딕트,양식,빵,기타
감바스,양식,해산물
뇨끼,양식,면류,기타
피쉬앤칩스,양식,해산물,튀김
프렌치토스트,양식,빵
시저샐러드,양식,기타
비프스튜,양식,국물/탕,고기
오므라이스,양식,일식,밥류
페퍼로니피자,패스트푸드,양식,빵
불고기버거,패스트푸드,양식,빵,고기
후라이드치킨,패스트푸드,고기,튀김
감자튀김,패스트푸드,튀김,기타
치즈버거,패스트푸드,양식,빵,고기
핫도그,패스트푸드,빵,기타
양념치킨,패스트푸드,고기,튀김
치킨너겟,패스트푸드,고기,튀김
샌드위치,패스트푸드,양식,빵
브리또,패스트푸드,기타
퀘사디아,패스트푸드,기타
타코,패스트푸드,기타
떡볶이,분식,면류,기타
김밥,분식,밥류,기타
라면,분식,면류,국물/탕
모둠튀김,분식,튀김,기타
순대,분식,기타
군만두,분식,중식,튀김
쫄면,분식,면류
칼국수,분식,한식,면류,국물/탕
수제비,분식,한식,국물/탕
어묵탕,분식,국물/탕,해산물
소떡소떡,분식,튀김,기타
치킨카레,퓨전,밥류,고기
명란파스타,퓨전,면류,해산물
김치치즈나베,퓨전,한식,일식,국물/탕
로제떡볶이,퓨전,분식,면류
불고기피자,퓨전,패스트푸드,빵,고기
카레우동,퓨전,면류
마라탕,기타,국물/탕,해산물
쌀국수,기타,면류,국물/탕
팟타이,기타,면류,해산물
나시고랭,기타,밥류,해산물
똠양꿍,기타,국물/탕,해산물
분짜,기타,면류,고기
케밥,기타,고기,빵
